Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Aird,Catherine,The Body Politic,,,,S
,Akunin,Boris,The Winter Queen,Erast Fandorin,1,,E
,Akunin,Boris,The Turkish Gambit,Erast Fandorin,2,,C
,Akunin,Boris,Murder on the Leviathan,Erast Fandorin,3,,E
,Akunin,Boris,Death of Achilles,Erast Fandorin,4,,C
,Akunin,Boris,Special Assignments,Erast Fandorin,5,,C
,Akunin,Boris,The State Counsellor,Erast Fandorin,6,,T
,Akunin,Boris,The Coronation,Erast Fandorin,7,,K
,Akunin,Boris,She Lover of Death,Erast Fandorin,8,,P
,Akunin,Boris,He Lover of Death,Erast Fandorin,9,,
,Akunin,Boris,The Diamond Chariot,Erast Fandorin,10,2011,
,Akunin,Boris,Pelagia and the White Bulldog,Sister Pelagia,1,,C
,Akunin,Boris,Pelagia and the Black Monk,Sister Pelagia,2,,C
,Akunin,Boris,Pelagia and the Red Rooster,Sister Pelagia,3,,B
,Alexander,Bruce,Murder in Grub Street,,,,H
,Allingham,Margery,My Friend Mr Campion and other mysteries,,,,Q
,Allingham,Margery,The Crime at Black Dudley,,,,F
,Anderson,James,The Affair of the Blood Stained Tea Cosy,,,,B
,Anderson,James,The Affair of the Mutilated Mink,,,,B
,Anderson,James,The Affair of the Thirty-Nine Cufflinks,,,,B
,Anon,,The Mammoth Book of Historical Whodunnits,,,,K
,Ash,Maureen,A Plague of Poison,Bascot de Marins,,,K
,Ash,Maureen,Death of A Squire,Bascot de Marins,,,K
,Ash,Maureen,Murder for Christ's Mass,Bascot de Marins,,,K
,Ash,Maureen,Shroud of Dishonour,Bascot de Marins,,,
,Ash,Maureen,The Alehouse Murders,Bascot de Marins,,,K
,Ashley (ed),Mike,More Shakespearean Whodunnits,,,,J
,Ashley (ed),Mike,Shakespearean Whodunnits,,,,J
,Barrnard,Robert,The Killings on Jubilee Terrace,,,,Q
,Barron,Stephanie,Jane and the Unpleasantness at Scargove Manor,Jane Austin,1,1996,N
,Barron,Stephanie,Jane and the Man of Cloth,Jane Austin,2,1997,N
,Barron,Stephanie,Jane and the Wandering Eye,Jane Austin,3,1998,N
,Barron,Stephanie,Jane and the Genius of Place,Jane Austin,4,1999,N
,Barron,Stephanie,Jane and the Stillroom Maid,Jane Austin,5,2000,N
,Barron,Stephanie,Jane and the Prisoner of Wool House,Jane Austin,6,2001,N
,Barron,Stephanie,Jane and the Ghosts of Netley,Jane Austin,7,2003,N
,Barron,Stephanie,Jane and His Lordship's Legacy,Jane Austin,8,2005,P
,Barron,Stephanie,Jane and the Barque of Frailty,Jane Austin,9,,P
,Bastable,Bernard,"Too Many Notes, Mr Mozart",,,,H
,Bates,Quentin,Frozen Out,Gunnhildur,1,,
,Bates,Quentin,Cold Comfort,Gunnhildur,2,,
,Bates,Quentin,Chiled To The Bone,Gunnhildur,3,,
,Beckett,Simon,The Chemistry of Death,,,,J
,Beckett,Simon,Written in Bone,,,,U
,Blair,J.M.C.,The Excalibur Murders,Merlin,,,Q
,Blair,J.M.C.,the Lancelot Murders,Merlin,,,Q
,Blair,J.M.C.,The Pendragon Muders,Merlin,,,Q
,Bolitho,Janie,Snapped in Cornwall,Rose Trevelyan,,1997,
,Bolitho,Janie,Framed in Cornwall,Rose Trevelyan,,1998,
,Bolitho,Janie,Buried in Cornwall,Rose Trevelyan,,,
,Bolitho,Janie,Caught out in Cornwall,Rose Trevelyan,,,
,Bolitho,Janie,Killed in Cornwall,Rose Trevelyan,,,
,Bolitho,Janie,Betrayed in Cornwall,Rose Trevelyan,,,
,Bolitho,Janie,Plotted in Cornwall,Rose Trevelyan,,,
,Booth,Stephen,The Devil's edge,Ben Cooper,,2011,
,Booth,Stephen,Already Dead,Ben Cooper,,2013,
,Booth,Stephen,The Corpse Bridge,Ben Cooper,,,
,Booth,Stephen,Dead and Buried,Cooper & Fry,,,
,Brett,Simon,Dead Giveaway,Charles Paris,,,L
,Brett,Simon,Murder in the Title,Charles Paris,,,L
,Brett,Simon,Situation Tragedy,Charles Paris,,,L
,Brett,Simon,What Bloody Man is That?,Charles Paris,,,L
,Brett,Simon,Murder in the Museum,,,,M
,Brody,Frances,Dying in the Wool,Kate Shackleton,1,,
,Brody,Frances,A Medal for Murder,Kate Shackleton,2,,
,Brody,Frances,Murder in the Afternoon,Kate Shackleton,3,,
,Brody,Frances,A Woman Unknown,Kate Shackleton,4,,
,Brody,Frances,Murder on a Summer's Day,Kate Shackleton,5,2013,
,Brody,Frances,Death of an Avid Reader,Kate Shackleton,6,2014,
,Brown,Dan,Angels and Demons,,,,D
,Brown,Dan,Deception Point,,,,T
,Brown,Dan,Digital Fortress,,,,D
,Brown,Dan,The DaVinci Code,,,,D
,Bruce,Alison,The Calling,DC Goodhew,,2010,
,Bruce,Alison,The Siren,DC Goodhew,,2011,
,Bruce,Alison,Cambridge Blue,DC Goodhew,,,
,Buckley,Fiona,The Doublet Affair,,,,N
,Buckley,Fiona,To Shield a Queen,,,,N
,Bude,John,The Cornish Coast Murder,,1,1935,
,Bude,John,The Lake District Murders,,2,1935,
,Bude,John,The Sussex Down Murders,,,2015,
,Burley,W.J.,Wycliffe and Death in a Salubrious Place,Wycliffe,,,C
,Burley,W.J.,Wycliffe and te Quiet Virgin,Wycliffe,,,R
,Burley,W.J.,Wycliffe and the Beales,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Cycle of Death,Wycliffe,,,R
,Burley,W.J.,Wycliffe and the Dead Flautist,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Death in Stanley Street,Wycliffe,,,C
,Burley,W.J.,Wycliffe and the Dunes Mystery,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Four Jacks,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Guild of Nine,Wycliffe,,,R
,Burley,W.J.,Wycliffe and the Guilt Edged Alibii,Wycliffe,,,C
,Burley,W.J.,Wycliffe and the House of Fear,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Last Rites,Wycliffe,,,C
,Burley,W.J.,Wycliffe and the Pea Green Boat,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Redhead,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Scapegoat,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the School Bullies,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Tangled Web,Wycliffe,,,S
,Burley,W.J.,Wycliffe and the Three-Toed Pussy,Wycliffe,,,T
,Burley,W.J.,Wycliffe and the Widsor Blue,Wycliffe,,,S
